Participant,adaptation,RT,MT,Age,Handedness,education,sex,clumsy,videogames,major,Sleep
19,3.56659848,365.8220338983051,106.8974358974359,17.0,righth,middleschool,male,Disagree,Neutral,Other,8
20,0.7120859831333333,230.9747899159664,76.80341880341881,29.0,righth,bachelor,male,Disagree,Agree,Psychology,6
21,0.07284886233333343,310.3898305084746,140.25,28.0,righth,graduate,male,Neutral,Agree,SocialScience,7
22,-0.8585230499999997,262.43333333333334,97.45689655172414,20.0,righth,secondaryschool,male,Neutral,Strongly Agree,STEM,5
23,5.812689111666667,222.42735042735043,215.56034482758622,17.0,lefth,secondaryschool,male,Disagree,Disagree,Other,6
24,-2.6402800966,170.16666666666666,127.16239316239316,18.0,righth,middleschool,male,Neutral,Strongly Agree,STEM,7
25,-8.300208983333333,323.6525423728813,175.6949152542373,44.0,righth,graduate,male,Strongly Disagree,Strongly Disagree,STEM,6
26,0.4641055766666669,183.23529411764707,95.64035087719299,17.0,righth,secondaryschool,male,Agree,Strongly Agree,ArtsHum,6
27,-39.183774172999996,118.12711864406779,116.94067796610169,16.0,righth,middleschool,female,Agree,Neutral,STEM,10
28,7.213685910000001,127.91666666666667,116.61864406779661,19.0,righth,secondaryschool,male,Strongly Agree,Agree,STEM,6
29,-0.6988893666000006,180.890756302521,110.3076923076923,20.0,righth,bachelor,male,Disagree,Agree,STEM,8
30,-36.375050137,288.2436974789916,107.26495726495726,42.0,righth,graduate,male,Strongly Disagree,Strongly Disagree,STEM,6
31,-1.6544845833333333,200.675,46.530434782608694,19.0,righth,college,male,Strongly Disagree,Strongly Disagree,Business,8
32,-5.544385886666666,249.42372881355934,99.83760683760684,18.0,righth,college,female,Strongly Agree,Disagree,SocialScience,7
33,-12.866879456666668,526.5762711864406,608.1052631578947,54.0,righth,college,male,Neutral,Strongly Disagree,Business,8
34,-2.9351699833333336,190.0,101.30357142857143,49.0,righth,graduate,female,Neutral,Disagree,Psychology,7
35,-1.7556279999999995,335.3109243697479,84.24369747899159,23.0,righth,college,female,Disagree,Strongly Agree,STEM,7
36,-3.341077290333334,332.29661016949154,92.52991452991454,26.0,righth,bachelor,male,Disagree,Strongly Agree,STEM,8
37,-0.3429844223333333,244.55,149.3913043478261,25.0,righth,secondaryschool,other,Neutral,Strongly Agree,STEM,8
38,-8.009050441666664,511.4830508474576,62.35042735042735,45.0,righth,middleschool,male,Strongly Disagree,Disagree,STEM,7
39,-3.9229243400000007,250.2136752136752,286.4786324786325,19.0,righth,bachelor,female,Neutral,Strongly Disagree,STEM,6
40,1.6636653156000003,240.7983193277311,304.60169491525426,43.0,righth,bachelor,female,Neutral,Strongly Disagree,Psychology,7
41,-6.3658590466666665,241.17948717948718,235.40677966101694,21.0,righth,secondaryschool,male,Neutral,Disagree,STEM,7
42,1.0442633333333333,244.41525423728814,84.58823529411765,18.0,righth,secondaryschool,female,Strongly Agree,Strongly Disagree,Psychology,7
43,-2.569557563399999,234.48739495798318,89.08474576271186,19.0,righth,college,male,Neutral,Agree,Business,7
44,4.5424392835,313.6470588235294,61.73275862068966,25.0,righth,college,male,Disagree,Strongly Agree,Psychology,5
45,5.724413533733334,238.425,125.51304347826087,46.0,lefth,bachelor,male,Strongly Disagree,Strongly Disagree,Psychology,10
46,-9.535477389999999,246.90833333333333,164.61344537815125,20.0,lefth,secondaryschool,female,Neutral,Disagree,Psychology,8
47,2.9979512,345.05128205128204,285.0701754385965,14.0,righth,middleschool,female,Agree,Strongly Disagree,SocialScience,7
48,6.4665119681666665,364.1810344827586,221.73043478260868,15.0,righth,middleschool,female,Disagree,Disagree,Other,6
49,-3.7679379666666666,146.41666666666666,160.47863247863248,25.0,righth,secondaryschool,female,Agree,Strongly Disagree,Psychology,8
50,-5.822639290000001,159.9075630252101,77.84615384615384,35.0,lefth,graduate,female,Disagree,Disagree,Other,9
51,-16.851197340000002,177.45833333333334,169.21186440677965,28.0,righth,college,male,Disagree,Agree,STEM,6
52,-15.288700508333335,262.94166666666666,502.5964912280702,15.0,lefth,middleschool,female,Agree,Agree,Other,7
53,-0.8609920440000001,268.47457627118644,29.43859649122807,15.0,righth,middleschool,male,Strongly Disagree,Strongly Agree,Other,7
54,0.6391228566666666,329.8666666666667,346.5897435897436,73.0,righth,graduate,female,Disagree,Strongly Disagree,Other,8
55,5.854830628333334,188.28205128205127,111.29824561403508,32.0,righth,bachelor,male,Agree,Agree,Other,7
56,0.9355411989333334,701.9642857142857,101.72649572649573,18.0,righth,rathernotsay,other,Strongly Disagree,Neutral,Other,7
57,-2.079617390666667,287.77966101694915,176.58474576271186,20.0,righth,college,female,Strongly Agree,Strongly Disagree,STEM,6
58,-0.10343721490000002,305.4201680672269,83.73949579831933,21.0,righth,secondaryschool,female,Agree,Neutral,Other,8
59,-2.829407587333333,95.54310344827586,50.16379310344828,21.0,righth,college,male,Agree,Disagree,STEM,6
60,-25.750833386,368.2268907563025,105.11206896551724,26.0,righth,college,female,Disagree,Strongly Disagree,Other,5
61,-7.132364816666667,278.47058823529414,134.22881355932202,23.0,lefth,bachelor,male,Neutral,Strongly Agree,STEM,7
62,-2.9462934266666667,275.4453781512605,217.61739130434782,36.0,righth,college,female,Neutral,Disagree,ArtsHum,8
63,-40.37061576499999,272.109243697479,182.87826086956522,19.0,righth,college,female,Neutral,Neutral,Psychology,9
64,1.0079402616666666,154.56302521008402,116.61206896551724,20.0,righth,secondaryschool,male,Neutral,Agree,STEM,8
65,15.316642393333332,199.05833333333334,50.855932203389834,24.0,righth,middleschool,male,Disagree,Agree,Other,6
66,-5.583970717933332,185.3781512605042,92.05128205128206,18.0,righth,college,female,Agree,Disagree,Psychology,7
67,-1.6673202676666667,354.672268907563,114.23275862068965,20.0,righth,bachelor,female,Neutral,Agree,STEM,8
68,1.1700400495333334,268.3813559322034,110.5,18.0,righth,college,male,Disagree,Strongly Agree,STEM,7
69,-9.015013159566667,196.6638655462185,90.52136752136752,18.0,lefth,middleschool,male,Neutral,Neutral,Other,7
70,0.0029900266666665898,262.5798319327731,135.85714285714286,14.0,righth,rathernotsay,female,Agree,Agree,Other,7
71,-1.3782027133333337,132.53333333333333,152.135593220339,16.0,righth,middleschool,male,Disagree,Agree,Psychology,7
72,0.052678436666666544,230.65,90.27966101694915,20.0,righth,college,female,Agree,Strongly Disagree,Psychology,7
73,13.462571133766666,272.85593220338984,202.30769230769232,20.0,righth,college,female,Neutral,Neutral,STEM,4
74,1.27638009,340.33613445378154,117.38461538461539,13.0,lefth,middleschool,male,Strongly Disagree,Neutral,STEM,9
75,-36.81596765033334,200.78813559322035,106.28448275862068,19.0,righth,middleschool,male,Agree,Agree,STEM,5
76,0.04084296999999964,287.4117647058824,83.78151260504201,21.0,righth,college,male,Strongly Disagree,Strongly Agree,Business,7
77,1.3024236999999996,581.6837606837607,71.58474576271186,14.0,bothh,middleschool,other,Agree,Disagree,Psychology,3
78,-5.430032046666666,308.85714285714283,69.15126050420169,18.0,righth,secondaryschool,female,Agree,Disagree,Other,8
79,-8.071015336666665,120.78151260504201,121.29661016949153,17.0,righth,middleschool,male,Disagree,Strongly Agree,STEM,7
80,-7.427769141466667,393.7731092436975,70.88888888888889,13.0,righth,middleschool,female,Agree,Neutral,ArtsHum,8
81,-4.095705436666666,283.52991452991455,97.11111111111111,32.0,righth,graduate,male,Disagree,Disagree,SocialScience,6
82,-7.134282831199999,178.28333333333333,138.7391304347826,29.0,righth,college,female,Neutral,Agree,Other,8
83,-2.6574812033333335,274.7563025210084,91.53781512605042,23.0,lefth,bachelor,female,Neutral,Disagree,Psychology,7
84,-8.444040378066667,318.86206896551727,243.5344827586207,17.0,lefth,primaryschool,other,Neutral,Agree,Other,7
85,-3.597456933333333,342.20168067226894,73.55555555555556,23.0,righth,bachelor,female,Disagree,Disagree,STEM,6
86,5.144640911066667,319.8067226890756,291.3478260869565,26.0,righth,graduate,female,Strongly Disagree,Strongly Disagree,Other,8
87,1.0010260766666663,362.135593220339,80.1864406779661,64.0,righth,college,male,Disagree,Agree,STEM,8
88,-1.8944453166666668,218.05128205128204,207.56410256410257,16.0,righth,middleschool,male,Strongly Disagree,Strongly Agree,STEM,5
89,-0.8497341466666665,242.36974789915968,128.3728813559322,16.0,righth,middleschool,other,Agree,Strongly Agree,ArtsHum,9
90,-6.836325246666666,500.4873949579832,119.13559322033899,22.0,lefth,college,female,Strongly Disagree,Strongly Disagree,Other,4
91,-0.6997198183,284.16101694915255,72.38983050847457,24.0,righth,graduate,male,Disagree,Agree,STEM,7
92,2.3476143386,320.4017094017094,139.2,15.0,righth,rathernotsay,male,Agree,Agree,STEM,6
93,-3.5421687263333337,242.29166666666666,156.13793103448276,28.0,righth,bachelor,female,Agree,Disagree,ArtsHum,7
94,1.6698089752873564,249.0854700854701,127.03448275862068,23.0,righth,graduate,male,Disagree,Strongly Agree,STEM,6
95,4.009430203333332,295.87179487179486,228.5,19.0,righth,secondaryschool,other,Strongly Agree,Disagree,SocialScience,7
96,0.8796481799999997,177.00833333333333,95.77966101694915,30.0,righth,bachelor,female,Neutral,Disagree,Other,6
97,3.1943097990666667,338.5083333333333,82.00840336134453,19.0,righth,secondaryschool,female,Agree,Strongly Disagree,STEM,7
98,0.22625371666666683,246.85833333333332,126.69827586206897,20.0,righth,college,female,Strongly Agree,Strongly Disagree,SocialScience,5
99,7.550472126666667,368.29661016949154,356.63247863247864,21.0,righth,college,female,Disagree,Neutral,Psychology,6
100,-3.218403377011494,209.32758620689654,239.1551724137931,25.0,righth,secondaryschool,male,Neutral,Agree,Other,7
101,-3.7102854072,542.6666666666666,625.7391304347826,28.0,righth,bachelor,male,Strongly Disagree,Strongly Disagree,SocialScience,8
102,-6.376342543333333,256.8474576271187,332.2105263157895,23.0,righth,bachelor,male,Disagree,Disagree,Other,6
103,-0.9135749569,332.9579831932773,141.2051282051282,28.0,righth,graduate,female,Agree,Strongly Disagree,STEM,8
104,1.53728967,227.6386554621849,136.68965517241378,17.0,righth,secondaryschool,male,Strongly Disagree,Neutral,Business,8
105,-1.5905690188333332,182.25210084033614,153.24786324786325,19.0,righth,college,male,Disagree,Strongly Agree,STEM,6
106,5.30810283,452.14912280701753,56.82905982905983,17.0,righth,rathernotsay,female,Agree,Disagree,Other,5
107,-0.6794647933333333,367.79831932773106,110.85470085470085,38.0,righth,bachelor,female,Neutral,Strongly Disagree,ArtsHum,7
108,1.3327810800000002,214.11016949152543,169.7155172413793,22.0,righth,bachelor,female,Agree,Strongly Disagree,STEM,12
109,-4.912316969999998,379.3697478991597,92.01724137931035,34.0,righth,technicalschool,male,Agree,Neutral,ArtsHum,8
110,19.29050481666667,326.80833333333334,106.90598290598291,19.0,righth,college,male,Strongly Disagree,Agree,STEM,10
111,8.822859868333333,396.75,136.76724137931035,15.0,righth,middleschool,female,Neutral,Strongly Disagree,Other,6
112,-7.199162306800001,153.25423728813558,207.4655172413793,28.0,righth,graduate,male,Disagree,Agree,Other,7
113,-7.192962216033334,393.1344537815126,53.83898305084746,34.0,righth,college,female,Agree,Disagree,Other,7
114,-16.871673509999997,315.7118644067797,166.88983050847457,21.0,righth,bachelor,female,Neutral,Agree,STEM,8
115,1.1417363766666668,230.3613445378151,97.11016949152543,33.0,righth,graduate,male,Agree,Disagree,SocialScience,8
116,-2.3435553766666666,452.65811965811963,54.34453781512605,16.0,righth,secondaryschool,male,Agree,Strongly Agree,Psychology,4
117,-4.6468332,342.5982905982906,53.411764705882355,21.0,lefth,college,male,Disagree,Strongly Agree,Other,7
118,-2.1846897033333335,289.6864406779661,102.1025641025641,47.0,righth,college,male,Neutral,Disagree,STEM,7
119,-10.756238136666667,228.43589743589743,227.2173913043478,21.0,righth,technicalschool,female,Agree,Disagree,ArtsHum,7
120,0.3960007566666666,312.3728813559322,239.35042735042734,19.0,righth,college,female,Agree,Disagree,ArtsHum,8
121,8.043288623333334,158.95833333333334,153.08620689655172,16.0,righth,secondaryschool,female,Strongly Agree,Strongly Agree,Other,7
122,3.288947479999999,304.5726495726496,233.34782608695653,36.0,righth,college,female,Neutral,Strongly Disagree,Other,5
123,55.1250742472069,272.6923076923077,324.990990990991,17.0,righth,middleschool,female,Neutral,Neutral,Other,10
124,-26.858368391799996,191.23529411764707,70.3931623931624,30.0,righth,bachelor,female,Disagree,Strongly Disagree,SocialScience,6
125,-2.4761958066666665,185.64406779661016,396.8018018018018,64.0,lefth,secondaryschool,male,Strongly Agree,Disagree,Other,6
126,1.6858619784333337,243.77118644067798,250.0,23.0,righth,college,male,Strongly Disagree,Strongly Agree,STEM,5
127,19.58645316666667,413.59322033898303,50.9327731092437,17.0,righth,middleschool,female,Agree,Neutral,Psychology,8
128,17.642355286666664,248.25423728813558,69.00854700854701,15.0,righth,secondaryschool,male,Disagree,Strongly Agree,STEM,7
129,-10.613918293,233.16949152542372,104.6896551724138,16.0,righth,secondaryschool,female,Agree,Strongly Disagree,ArtsHum,6
130,-0.12680159666666674,313.6470588235294,237.86324786324786,19.0,righth,secondaryschool,female,Neutral,Strongly Disagree,ArtsHum,9
131,-16.683674636666666,291.4830508474576,111.13675213675214,17.0,righth,secondaryschool,female,Agree,Agree,STEM,10
132,4.379224916333333,327.97457627118644,297.42241379310343,33.0,righth,graduate,male,Strongly Disagree,Neutral,Business,8
133,15.50152745,292.2857142857143,158.15254237288136,21.0,righth,college,female,Disagree,Strongly Disagree,Business,8
134,9.489365213333333,289.94117647058823,133.98275862068965,17.0,righth,middleschool,female,Neutral,Neutral,ArtsHum,7
135,11.927390882666666,140.27731092436974,119.84745762711864,25.0,righth,college,male,Disagree,Agree,STEM,6
136,3.846570883233333,251.42016806722688,87.72881355932203,29.0,lefth,college,male,Agree,Strongly Disagree,STEM,7
137,9.11492137586207,289.453781512605,100.69491525423729,15.0,righth,secondaryschool,male,Strongly Agree,Strongly Agree,Psychology,8
138,-4.58431767,308.64957264957263,163.77777777777777,55.0,righth,rathernotsay,female,Strongly Agree,Strongly Disagree,Other,6
139,-0.9500204233333331,230.30833333333334,166.5593220338983,15.0,lefth,middleschool,male,Neutral,Disagree,Other,9
140,0.7728544066666666,318.94017094017096,59.58119658119658,31.0,righth,bachelor,female,Disagree,Strongly Disagree,STEM,7
141,-0.8071428351724141,383.5762711864407,78.26890756302521,22.0,bothh,noneoftheabove,male,Strongly Disagree,Agree,STEM,8
142,-5.182197382666667,221.51694915254237,433.98319327731093,33.0,bothh,graduate,male,Agree,Agree,Other,7
143,-8.850414316666667,314.2844827586207,241.25423728813558,38.0,righth,graduate,male,Strongly Disagree,Disagree,Business,7
144,-2.6875514033333343,258.3135593220339,94.4453781512605,22.0,righth,bachelor,female,Disagree,Neutral,STEM,6
145,0.28399522000000005,209.3109243697479,339.7881355932203,21.0,righth,middleschool,male,Disagree,Agree,STEM,9
146,2.7980955733333333,208.15126050420167,112.98319327731092,14.0,righth,middleschool,male,Neutral,Strongly Agree,Psychology,8
147,6.186420983333333,235.81512605042016,32.563025210084035,15.0,righth,middleschool,female,Neutral,Disagree,Other,5
148,-44.595241873,227.2016806722689,67.64957264957265,28.0,righth,graduate,male,Disagree,Neutral,Other,7
149,0.5876345366666669,230.82203389830508,145.1196581196581,25.0,righth,college,female,Agree,Neutral,STEM,4
150,-5.1129720644,332.23728813559325,145.8034188034188,37.0,righth,bachelor,female,Strongly Disagree,Strongly Disagree,Psychology,5
151,-5.213265426666666,313.1794871794872,83.72173913043478,60.0,righth,graduate,male,Disagree,Disagree,STEM,7
152,-6.04667967,197.01694915254237,258.0344827586207,41.0,bothh,college,male,Strongly Disagree,Disagree,STEM,6
153,-31.481761686666665,310.43589743589746,73.4322033898305,29.0,righth,graduate,female,Agree,Neutral,STEM,6
154,-1.6550938283333332,248.05833333333334,410.9913793103448,25.0,righth,rathernotsay,female,Agree,Strongly Agree,Other,11
155,-13.656808660000001,286.0504201680672,78.50420168067227,43.0,righth,graduate,female,Disagree,Disagree,Psychology,6
156,0.7631503266666665,296.85470085470087,94.64347826086957,17.0,righth,college,male,Neutral,Agree,STEM,6
157,2.603243886666667,237.04166666666666,158.14406779661016,37.0,righth,graduate,female,Disagree,Strongly Disagree,STEM,7
158,0.5829929,218.55833333333334,91.75,27.0,righth,secondaryschool,male,Strongly Agree,Neutral,Other,6
159,-6.232522705999999,182.225,158.36974789915968,28.0,righth,bachelor,male,Agree,Strongly Agree,Business,8
160,12.885037011133333,219.95762711864407,114.24786324786325,24.0,righth,bachelor,male,Disagree,Neutral,STEM,8
161,-0.791255414666667,274.771186440678,70.83620689655173,17.0,righth,middleschool,female,Disagree,Strongly Disagree,STEM,4
162,-2.7245949433333334,305.7731092436975,94.27350427350427,32.0,righth,graduate,male,Disagree,Strongly Disagree,STEM,5
163,-0.28467868333333357,261.03333333333336,90.83050847457628,28.0,righth,graduate,female,Agree,Strongly Disagree,ArtsHum,8
164,-4.210101374466666,352.2583333333333,500.46153846153845,24.0,righth,college,male,Strongly Agree,Disagree,STEM,8
165,-4.591970623333333,306.15,114.37606837606837,16.0,righth,secondaryschool,female,Neutral,Strongly Disagree,Psychology,8
166,21.907209613333332,309.0,326.8050847457627,72.0,righth,graduate,female,Neutral,Neutral,Other,6
167,-0.46971934333333354,201.10084033613447,88.66101694915254,17.0,lefth,rathernotsay,female,Agree,Strongly Disagree,Other,6
168,0.8291917639999998,327.53389830508473,700.5957446808511,68.0,righth,graduate,female,Strongly Disagree,Disagree,Psychology,7
169,-7.234591413333333,286.72033898305085,462.4117647058824,28.0,righth,bachelor,female,Neutral,Disagree,Other,8
170,-12.598979072733334,380.03361344537814,59.20338983050848,35.0,lefth,graduate,male,Disagree,Disagree,Other,9
171,6.156205801666667,175.77118644067798,99.2016806722689,18.0,righth,secondaryschool,male,Agree,Disagree,STEM,5
172,-44.682081059,275.77966101694915,98.19658119658119,48.0,righth,college,male,Strongly Disagree,Neutral,Other,8
173,-9.003282663333334,313.6186440677966,283.5833333333333,50.0,righth,graduate,male,Neutral,Strongly Disagree,STEM,6
174,3.2258622543333333,206.4453781512605,163.49137931034483,21.0,righth,primaryschool,male,Disagree,Disagree,Psychology,6
175,3.1538921033333334,240.72649572649573,107.90677966101696,23.0,righth,technicalschool,male,Strongly Agree,Neutral,STEM,7
176,2.4170915468333334,256.0,127.6864406779661,20.0,righth,secondaryschool,male,Neutral,Strongly Agree,Other,5
177,-1.0609966266666668,299.8898305084746,53.52542372881356,13.0,righth,rathernotsay,male,Neutral,Strongly Agree,Other,7
178,-5.387445016666667,284.9237288135593,80.36134453781513,19.0,righth,college,female,Disagree,Disagree,ArtsHum,8
179,2.5230761566666664,205.32773109243698,155.27350427350427,16.0,righth,middleschool,female,Strongly Agree,Agree,Other,8
180,2.12676572,416.7563025210084,73.07563025210084,30.0,righth,graduate,female,Agree,Agree,Psychology,7
181,-0.8721389015333334,151.975,75.01709401709402,16.0,righth,secondaryschool,male,Neutral,Neutral,STEM,7
182,0.9171910096666666,365.3781512605042,68.88983050847457,28.0,righth,graduate,female,Disagree,Neutral,Psychology,8
183,-5.6702638619,242.41176470588235,44.271186440677965,47.0,righth,bachelor,male,Disagree,Neutral,STEM,8
184,-0.15420912056666625,323.1932773109244,175.51282051282053,65.0,righth,bachelor,male,Neutral,Strongly Disagree,Other,5
185,3.8894256933333327,266.2352941176471,57.152542372881356,49.0,righth,graduate,male,Strongly Disagree,Agree,STEM,7
186,-5.218222053333333,285.18333333333334,99.24369747899159,17.0,righth,secondaryschool,female,Neutral,Neutral,Other,8
187,12.2186716008046,204.74789915966386,234.4102564102564,34.0,lefth,bachelor,female,Strongly Agree,Disagree,SocialScience,6
188,-50.44336404866666,234.96610169491527,409.58878504672896,17.0,righth,secondaryschool,male,Strongly Disagree,Neutral,STEM,10
189,-6.267718852833334,501.88034188034186,169.5948275862069,96.0,righth,bachelor,female,Neutral,Neutral,Psychology,6
190,11.686881606666669,224.19327731092437,155.35897435897436,22.0,lefth,bachelor,male,Agree,Agree,STEM,6
191,4.134993146666668,303.31666666666666,261.1101694915254,20.0,righth,rathernotsay,female,Strongly Agree,Agree,ArtsHum,7
192,0.09395832999999998,380.05882352941177,262.94871794871796,26.0,righth,bachelor,female,Disagree,Disagree,Other,8
193,-1.4865505011904758,254.11764705882354,98.82758620689656,22.0,righth,bachelor,female,Disagree,Neutral,Business,7
194,-0.875639946,230.53389830508473,100.58823529411765,17.0,righth,secondaryschool,male,Disagree,Strongly Agree,STEM,6
195,-1.0848926724333332,221.14285714285714,103.16101694915254,30.0,righth,graduate,male,Disagree,Strongly Agree,ArtsHum,7
196,10.85588096,317.89830508474574,115.95798319327731,21.0,righth,college,male,Strongly Disagree,Neutral,Psychology,7
197,1.5624418800000002,298.11965811965814,44.62068965517241,31.0,righth,college,male,Strongly Disagree,Strongly Disagree,Other,7
198,-3.402408313333333,334.94117647058823,169.94957983193277,15.0,righth,secondaryschool,female,Strongly Agree,Disagree,ArtsHum,5
199,4.759990129999999,302.07563025210084,121.86086956521739,19.0,righth,bachelor,female,Agree,Strongly Disagree,Psychology,8
200,-9.837684582333333,236.63025210084032,57.97478991596638,21.0,righth,college,male,Disagree,Strongly Agree,Business,7
201,-9.429773083333334,269.4453781512605,109.54700854700855,40.0,righth,bachelor,male,Agree,Neutral,STEM,7
202,-0.6501502566666668,233.8803418803419,58.05128205128205,14.0,righth,middleschool,male,Agree,Agree,STEM,8
203,16.285067393333335,323.26271186440675,384.5833333333333,36.0,righth,bachelor,male,Disagree,Disagree,STEM,6
204,5.044825623333333,269.9145299145299,150.2941176470588,45.0,righth,secondaryschool,male,Neutral,Agree,STEM,7
205,1.9198113296666668,221.775,93.0677966101695,15.0,righth,primaryschool,male,Agree,Strongly Agree,STEM,9
206,3.4197762783333334,261.1864406779661,79.64102564102564,29.0,righth,secondaryschool,male,Agree,Strongly Agree,Business,6
207,-2.1634318100666667,316.8666666666667,254.11864406779662,31.0,righth,bachelor,female,Disagree,Disagree,STEM,9
208,5.838391039133333,369.4273504273504,892.8659793814433,18.0,righth,college,female,Neutral,Disagree,Psychology,6
209,-5.532492665333334,263.0083333333333,185.5811965811966,24.0,righth,bachelor,male,Disagree,Neutral,STEM,8
210,2.5987767366666668,153.52542372881356,152.86206896551724,18.0,righth,college,male,Strongly Disagree,Disagree,STEM,7
211,5.848305959999999,226.96610169491527,65.42735042735043,18.0,righth,secondaryschool,female,Neutral,Disagree,ArtsHum,8
212,-2.3868244864999997,195.76470588235293,117.15517241379311,23.0,righth,college,female,Neutral,Agree,Other,9
213,-1.3007901496666665,278.84166666666664,98.8859649122807,24.0,righth,bachelor,female,Strongly Agree,Strongly Agree,ArtsHum,6
214,-3.145203756666666,160.64102564102564,149.71428571428572,27.0,righth,secondaryschool,male,Neutral,Strongly Agree,Other,7
215,-18.6113600162,292.45762711864404,162.5593220338983,21.0,righth,college,female,Disagree,Agree,STEM,7
216,-1.1487302864000002,413.9230769230769,114.36752136752136,16.0,lefth,middleschool,female,Agree,Disagree,Business,7
217,-2.365025626666667,326.4033613445378,142.02586206896552,17.0,righth,middleschool,female,Neutral,Disagree,STEM,10
218,-8.667955179366666,304.78991596638656,139.3109243697479,18.0,lefth,secondaryschool,female,Agree,Disagree,SocialScience,8
219,1.5202701877666671,290.8151260504202,298.6470588235294,9.0,bothh,primaryschool,female,Agree,Strongly Disagree,STEM,9
220,0.3287462399999997,243.38655462184875,396.61538461538464,16.0,righth,secondaryschool,male,Disagree,Neutral,STEM,7
221,-37.794019106200004,244.81666666666666,375.18260869565216,24.0,righth,secondaryschool,male,Disagree,Neutral,Business,7
222,-3.86189584,332.6,149.1949152542373,20.0,righth,college,female,Disagree,Strongly Disagree,ArtsHum,7
223,-15.914688926,270.93277310924367,111.97413793103448,16.0,righth,middleschool,female,Strongly Agree,Disagree,STEM,6
224,4.679492836666666,148.49579831932772,95.42735042735043,19.0,righth,middleschool,male,Disagree,Strongly Agree,Business,7
225,-49.900359011666666,391.41379310344826,42.54237288135593,20.0,righth,college,female,Neutral,Disagree,SocialScience,8
226,-2.7529696145999996,238.21008403361344,82.76271186440678,33.0,righth,bachelor,male,Disagree,Agree,STEM,7
227,0.5237959033333333,207.41176470588235,55.21367521367522,12.0,righth,middleschool,female,Neutral,Strongly Agree,STEM,10
228,-3.860973924466667,292.1965811965812,106.22881355932203,23.0,righth,bachelor,female,Agree,Strongly Disagree,STEM,8
229,-7.645809243333332,242.2016806722689,231.12820512820514,25.0,righth,college,male,Disagree,Neutral,Other,8
230,-2.038977819566667,259.7118644067797,119.3529411764706,16.0,righth,middleschool,male,Neutral,Strongly Agree,Business,6
231,0.38197382,204.92436974789916,115.72173913043478,28.0,righth,bachelor,male,Agree,Agree,STEM,8
232,-2.3291227266666663,300.01680672268907,100.41880341880342,30.0,righth,graduate,female,Strongly Disagree,Neutral,STEM,6
233,-2.484523254633334,374.38655462184875,179.9391304347826,27.0,righth,graduate,female,Strongly Agree,Strongly Disagree,STEM,8
234,-4.415751675666667,251.66086956521738,203.84745762711864,75.0,righth,bachelor,female,Disagree,Strongly Disagree,STEM,6
235,-4.3623842900000005,204.65546218487395,246.42735042735043,18.0,lefth,middleschool,male,Disagree,Strongly Agree,Other,7
236,10.810208199333333,300.66386554621846,58.470588235294116,16.0,righth,secondaryschool,male,Strongly Disagree,Agree,Other,7
237,1.4919068766666663,181.1,201.5593220338983,25.0,righth,bachelor,male,Neutral,Disagree,STEM,8
238,2.7211450065666662,372.8813559322034,124.08474576271186,45.0,righth,middleschool,male,Disagree,Disagree,STEM,6
239,-8.875830816666667,224.94017094017093,245.64102564102564,19.0,bothh,college,female,Strongly Agree,Strongly Disagree,Other,10
