Participant,Condition,Trial,ResponseTime,Accuracy,StimulusSide,ResponseSide
2,RR-LS,12,261.15585861686986,1,Left,Right
2,RR-LS,13,266.7416559250247,1,Left,Right
2,RR-LS,14,342.0662432926165,1,Left,Right
2,RR-LS,15,423.7189464156504,1,Left,Right
2,RR-LS,16,269.46947205449055,1,Left,Right
2,RR-LS,17,214.34697298821575,1,Left,Right
2,RR-LS,18,379.2037309575044,1,Left,Right
2,RR-LS,19,315.66792604493736,1,Left,Right
2,RR-LS,20,439.20240568930643,0,Left,Right
2,RR-LS,21,330.57556758097195,1,Left,Right
2,RR-LS,22,306.935392571747,0,Left,Right
2,RR-LS,23,270.58215178217586,1,Left,Right
2,RR-LS,24,373.7239114996796,1,Left,Right
2,RR-LS,25,313.60324044912807,1,Left,Right
2,RR-LS,26,293.41323214052176,1,Left,Right
2,RR-LS,27,352.03548120767346,1,Left,Right
2,RR-LS,28,302.99196342733217,1,Left,Right
2,RR-LS,29,336.39745953692267,1,Left,Right
2,RR-LS,30,288.3099236434222,1,Left,Right
2,RR-LS,31,388.07002726766694,1,Left,Right
2,RR-LS,32,327.14633679444546,1,Left,Right
2,RR-LS,33,313.054643561366,1,Left,Right
2,RR-LS,34,263.5512277162934,1,Left,Right
2,RR-LS,35,350.56470085012586,1,Left,Right
2,RR-LS,36,267.0005932466544,1,Left,Right
2,RR-LS,37,395.74199016250054,1,Left,Right
2,RR-LS,38,413.7386487537959,1,Left,Right
2,RR-LS,39,337.2181381967862,1,Left,Right
2,RR-LS,40,349.1343794441868,1,Left,Right
3,LR-LS,1,307.77134481736346,1,Left,Left
3,LR-LS,2,277.58835644859994,1,Left,Left
3,LR-LS,3,306.66139303505236,1,Left,Left
3,LR-LS,4,305.95224783447475,1,Left,Left
3,LR-LS,5,291.55440795091954,1,Left,Left
3,LR-LS,6,335.37466601298934,1,Left,Left
3,LR-LS,7,304.30504997692617,1,Left,Left
3,LR-LS,8,276.126300050761,1,Left,Left
3,LR-LS,9,303.3311888521907,1,Left,Left
3,LR-LS,10,360.749519823386,1,Left,Left
3,LR-LS,11,297.74879036055984,1,Left,Left
3,LR-LS,12,307.43935671865205,1,Left,Left
3,LR-LS,13,327.91804512535316,1,Left,Left
3,LR-LS,14,328.5937610999607,1,Left,Left
3,LR-LS,15,332.06444722300404,0,Left,Left
3,LR-LS,16,336.21624451762267,1,Left,Left
3,LR-LS,17,323.7329722397287,1,Left,Left
3,LR-LS,18,295.1643496769091,0,Left,Left
3,LR-LS,19,337.08223518038966,1,Left,Left
3,LR-LS,20,307.0031168385617,1,Left,Left
3,LR-LS,21,360.86337705992605,1,Left,Left
3,LR-LS,22,383.42415847483466,1,Left,Left
3,LR-LS,23,328.7923322065913,1,Left,Left
3,LR-LS,24,342.4363183459485,1,Left,Left
3,LR-LS,25,345.3942576406008,1,Left,Left
3,LR-LS,26,306.0184048475521,1,Left,Left
3,LR-LS,27,303.45829739165987,0,Left,Left
3,LR-LS,28,339.5229244000555,1,Left,Left
3,LR-LS,29,354.1246945616875,1,Left,Left
3,LR-LS,30,331.72053730515364,1,Left,Left
3,LR-LS,31,332.7574355049492,1,Left,Left
3,LR-LS,32,319.51672305417367,1,Left,Left
3,LR-LS,33,340.44355142424735,1,Left,Left
3,LR-LS,34,288.9027971967093,1,Left,Left
3,LR-LS,35,314.3408521750517,1,Left,Left
3,LR-LS,36,326.10376998375096,1,Left,Left
3,LR-LS,37,349.9692626536891,1,Left,Left
3,LR-LS,38,318.57690515849526,1,Left,Left
3,LR-LS,39,307.1581440985014,1,Left,Left
3,LR-LS,40,308.893320594304,1,Left,Left
3,LR-RS,1,308.7116269614544,1,Right,Left
3,LR-RS,2,362.4363825212182,1,Right,Left
3,LR-RS,3,502.9336952774446,1,Right,Left
3,LR-RS,4,258.53562612856024,1,Right,Left
3,LR-RS,5,338.0863181846091,1,Right,Left
3,LR-RS,6,383.3422266875655,0,Right,Left
3,LR-RS,7,323.91189584741124,1,Right,Left
3,LR-RS,8,360.00805560114316,1,Right,Left
3,LR-RS,9,307.1176612368346,1,Right,Left
3,LR-RS,10,275.3626022325429,1,Right,Left
3,LR-RS,11,319.700064845453,1,Right,Left
3,LR-RS,12,279.9956926268035,0,Right,Left
3,LR-RS,13,440.479847388063,1,Right,Left
3,LR-RS,14,309.7934421492773,0,Right,Left
3,LR-RS,15,387.92286023419035,1,Right,Left
3,LR-RS,16,319.86336934837084,1,Right,Left
3,LR-RS,17,387.98837816365517,1,Right,Left
3,LR-RS,18,349.9199111856032,1,Right,Left
3,LR-RS,19,411.7092191059853,1,Right,Left
3,LR-RS,20,421.9891305906528,1,Right,Left
3,LR-RS,21,318.09818629252646,1,Right,Left
3,LR-RS,22,327.4468812846236,1,Right,Left
3,LR-RS,23,325.60197443780623,1,Right,Left
3,LR-RS,24,241.75980733542798,1,Right,Left
3,LR-RS,25,378.83670198964427,1,Right,Left
3,LR-RS,26,305.2503687136009,1,Right,Left
3,LR-RS,27,355.6999420266456,1,Right,Left
3,LR-RS,28,399.4674253005028,1,Right,Left
3,LR-RS,29,285.72125741253024,1,Right,Left
3,LR-RS,30,315.4936062514191,1,Right,Left
3,LR-RS,31,351.3363907331851,1,Right,Left
3,LR-RS,32,295.4871488983083,1,Right,Left
3,LR-RS,33,343.44800739592415,1,Right,Left
3,LR-RS,34,312.5546798600429,1,Right,Left
3,LR-RS,35,397.9273493596672,1,Right,Left
3,LR-RS,36,425.4175992712933,1,Right,Left
3,LR-RS,37,320.2527641526857,1,Right,Left
3,LR-RS,38,444.68897731761297,1,Right,Left
3,LR-RS,39,296.14697425736983,1,Right,Left
3,LR-RS,40,399.60053038169445,1,Right,Left
3,RR-RS,1,295.8364054898922,1,Right,Right
3,RR-RS,2,297.9469047735577,1,Right,Right
3,RR-RS,3,288.74522558357006,1,Right,Right
3,RR-RS,4,319.6407535470377,1,Right,Right
3,RR-RS,5,321.8957231117308,1,Right,Right
3,RR-RS,6,293.08879978597406,1,Right,Right
3,RR-RS,7,318.1838224236363,1,Right,Right
3,RR-RS,8,339.96815559813103,1,Right,Right
3,RR-RS,9,298.94711884671807,1,Right,Right
3,RR-RS,10,268.42219718347707,1,Right,Right
3,RR-RS,11,293.30313271687925,1,Right,Right
3,RR-RS,12,296.79461321890363,1,Right,Right
3,RR-RS,13,314.9168878657274,1,Right,Right
3,RR-RS,14,309.85297099027963,1,Right,Right
3,RR-RS,15,318.48668016716726,1,Right,Right
3,RR-RS,16,325.37014081282433,1,Right,Right
3,RR-RS,17,289.6629373811394,1,Right,Right
3,RR-RS,18,258.7164008000103,1,Right,Right
3,RR-RS,19,307.9289832078082,1,Right,Right
3,RR-RS,20,302.7137828421526,0,Right,Right
3,RR-RS,21,332.1613042102735,1,Right,Right
3,RR-RS,22,314.3146549370315,1,Right,Right
3,RR-RS,23,281.9150299819782,1,Right,Right
3,RR-RS,24,316.87433352781886,1,Right,Right
3,RR-RS,25,201.65853382390836,1,Right,Right
3,RR-RS,26,266.0976296621566,1,Right,Right
3,RR-RS,27,275.5840101665354,1,Right,Right
3,RR-RS,28,275.13223484738324,1,Right,Right
3,RR-RS,29,325.9113015852172,1,Right,Right
3,RR-RS,30,281.8184949821926,1,Right,Right
3,RR-RS,31,310.9971833873421,1,Right,Right
3,RR-RS,32,317.623987798343,1,Right,Right
3,RR-RS,33,333.46890943774815,1,Right,Right
3,RR-RS,34,253.27247764305733,1,Right,Right
3,RR-RS,35,323.46318684687907,0,Right,Right
3,RR-RS,36,321.0351110932521,1,Right,Right
3,RR-RS,37,292.7568094626154,1,Right,Right
3,RR-RS,38,294.696042675642,1,Right,Right
3,RR-RS,39,277.48663665664566,1,Right,Right
3,RR-RS,40,232.1846079376856,1,Right,Right
3,RR-LS,1,372.1946889742664,1,Left,Right
3,RR-LS,2,303.6595935606978,1,Left,Right
3,RR-LS,3,297.09450478424634,1,Left,Right
3,RR-LS,4,331.50848111792556,1,Left,Right
3,RR-LS,5,333.6660880823806,1,Left,Right
3,RR-LS,6,304.40934029971953,1,Left,Right
3,RR-LS,7,401.39198301213116,1,Left,Right
3,RR-LS,8,408.69658438365514,1,Left,Right
3,RR-LS,9,359.9662167335895,1,Left,Right
3,RR-LS,10,409.5388220714523,1,Left,Right
3,RR-LS,11,399.2818646126344,1,Left,Right
3,RR-LS,12,287.685232058198,1,Left,Right
3,RR-LS,13,339.10158201901436,0,Left,Right
3,RR-LS,14,318.47173679140565,1,Left,Right
3,RR-LS,15,322.31986143881716,1,Left,Right
3,RR-LS,16,316.11411254519066,1,Left,Right
3,RR-LS,17,394.02337533519557,1,Left,Right
3,RR-LS,18,380.25413395004364,1,Left,Right
3,RR-LS,19,350.5772648200851,1,Left,Right
3,RR-LS,20,300.87968509226937,1,Left,Right
3,RR-LS,21,257.80085449545555,1,Left,Right
3,RR-LS,22,262.14978098905794,1,Left,Right
3,RR-LS,23,289.9378276301528,1,Left,Right
3,RR-LS,24,330.0489679332901,1,Left,Right
3,RR-LS,25,404.416717142365,1,Left,Right
3,RR-LS,26,450.2731979321033,1,Left,Right
3,RR-LS,27,279.1621270951267,1,Left,Right
3,RR-LS,28,255.27733835593912,1,Left,Right
3,RR-LS,29,396.4090232053558,1,Left,Right
3,RR-LS,30,256.0324162367603,0,Left,Right
3,RR-LS,31,295.65865526962284,1,Left,Right
3,RR-LS,32,300.0043067038365,0,Left,Right
3,RR-LS,33,296.19188575662395,1,Left,Right
3,RR-LS,34,335.93300501306624,1,Left,Right
3,RR-LS,35,313.34005797992296,1,Left,Right
3,RR-LS,36,413.84791127828345,1,Left,Right
3,RR-LS,37,407.1023703881639,1,Left,Right
3,RR-LS,38,321.1254030153299,1,Left,Right
3,RR-LS,39,280.38248068161204,1,Left,Right
3,RR-LS,40,332.1053484730884,1,Left,Right
4,LR-LS,1,341.1725612548526,1,Left,Left
4,LR-LS,2,275.4673971663192,1,Left,Left
4,LR-LS,3,315.65250888821765,1,Left,Left
4,LR-LS,4,311.66522053559356,1,Left,Left
4,LR-LS,5,289.71673173406316,1,Left,Left
4,LR-LS,6,340.3666861267637,1,Left,Left
4,LR-LS,7,272.99733362271,0,Left,Left
4,LR-LS,8,297.44289198274845,1,Left,Left
4,LR-LS,9,284.0800435664691,1,Left,Left
4,LR-LS,10,269.75897356019345,1,Left,Left
4,LR-LS,11,318.32217466697034,1,Left,Left
4,LR-LS,12,321.32385941063563,0,Left,Left
4,LR-LS,13,280.60310888807874,1,Left,Left
4,LR-LS,14,288.3701279906233,1,Left,Left
4,LR-LS,15,242.53555740657697,1,Left,Left
4,LR-LS,16,217.01339119640636,1,Left,Left
4,LR-LS,17,296.15273086537894,1,Left,Left
4,LR-LS,18,318.26608929095323,1,Left,Left
4,LR-LS,19,340.0502000678578,1,Left,Left
4,LR-LS,20,227.75860423285786,1,Left,Left
4,LR-LS,21,371.5140073406922,1,Left,Left
4,LR-LS,22,300.17614822922064,1,Left,Left
4,LR-LS,23,328.94953894130964,1,Left,Left
4,LR-LS,24,201.1428912427533,0,Left,Left
4,LR-LS,25,279.9308493839301,1,Left,Left
4,LR-LS,26,329.05174130449313,1,Left,Left
4,LR-LS,27,271.4478072874784,0,Left,Left
4,LR-LS,28,236.3004935508767,1,Left,Left
4,LR-LS,29,329.0251739900575,1,Left,Left
4,LR-LS,30,247.13754191857248,1,Left,Left
4,LR-LS,31,299.75954717330296,1,Left,Left
4,LR-LS,32,326.47688398506074,1,Left,Left
4,LR-LS,33,267.1544902608527,1,Left,Left
4,LR-LS,34,318.2471551216731,1,Left,Left
4,LR-LS,35,307.7026662444783,0,Left,Left
4,LR-LS,36,258.43861796371203,1,Left,Left
4,LR-LS,37,308.3261081941059,1,Left,Left
4,LR-LS,38,342.4091757567653,1,Left,Left
4,LR-LS,39,238.9468280641841,1,Left,Left
4,LR-LS,40,278.5557326140954,1,Left,Left
4,LR-RS,1,380.1752975671302,1,Right,Left
4,LR-RS,2,404.8094556986653,1,Right,Left
4,LR-RS,3,316.07060579912894,0,Right,Left
4,LR-RS,4,368.8204330415589,1,Right,Left
4,LR-RS,5,352.243336918206,1,Right,Left
4,LR-RS,6,333.35012608377343,1,Right,Left
4,LR-RS,7,374.42756927432043,0,Right,Left
4,LR-RS,8,360.9568110447417,1,Right,Left
4,LR-RS,9,260.2479594770441,1,Right,Left
4,LR-RS,10,308.4378377428006,1,Right,Left
4,LR-RS,11,378.8783372815916,1,Right,Left
4,LR-RS,12,299.1696271311698,1,Right,Left
4,LR-RS,13,298.1568527483191,1,Right,Left
4,LR-RS,14,305.90827921788645,1,Right,Left
4,LR-RS,15,348.4307339823923,1,Right,Left
4,LR-RS,16,289.96097086464766,1,Right,Left
